tp,sl,window,dd,lb,n,pos,rate,recent_n,recent_rate,recent_rate_minus_be,barrier_be_precision,base_rate_minus_be,retain_n,retain_rate,convert_n,convert_rate,old1_to_0,tp_exit,hard_exit,trail_exit,timeout_exit,trail_future_tp_n,trail_future_tp_rate,stop_future_tp_n,conflict_n,pos_med_exit_min,pos_med_mae,pos_p25_mae,stop_med_mfe,proxy_mean_ret,proxy_median_ret,recent_proxy_mean_ret
1.6,0.8,90,0.25,5,1177,239,0.20305862361937127,295,0.15932203389830507,-0.09067796610169487,0.24999999999999994,-0.046941376380628674,195,0.8986175115207373,44,0.04583333333333333,22,239,635,201,102,54,0.26865671641791045,116,8,3.05,0.0,-0.06314939075715786,0.056217698343549616,0.015035160331695318,-0.19999999999999996,-0.006396506587322512
1.6,0.8,90,0.25,10,1177,238,0.20220900594732372,295,0.15593220338983052,-0.09406779661016942,0.24999999999999994,-0.04779099405267623,195,0.8986175115207373,43,0.04479166666666667,22,238,625,218,96,56,0.25688073394495414,117,8,3.025,0.0,-0.06266942706609169,0.05871813105436696,0.016062443923696174,-0.19999999999999996,-0.007033901856106571
1.6,0.8,90,0.25,15,1177,236,0.20050977060322855,295,0.15254237288135594,-0.097457627118644,0.24999999999999994,-0.04949022939677139,194,0.8940092165898618,42,0.04375,23,236,617,232,92,58,0.25,119,8,2.975,0.0,-0.06266942706609169,0.06024553408173183,0.016280228138465552,-0.19999999999999996,-0.008161859982672633
1.6,0.8,90,0.3,5,1177,257,0.2183517417162277,295,0.17966101694915254,-0.0703389830508474,0.24999999999999994,-0.03164825828377224,208,0.9585253456221198,49,0.051041666666666666,9,257,690,120,110,30,0.25,99,7,3.3833333333333333,0.0,-0.06437576709493154,0.049429520970593055,0.011587196005472129,-0.19999999999999996,-0.010746614668146153
1.6,0.8,90,0.3,10,1177,254,0.21580288870008496,295,0.17627118644067796,-0.07372881355932198,0.24999999999999994,-0.034197111299914984,208,0.9585253456221198,46,0.04791666666666667,9,254,681,135,107,33,0.24444444444444444,102,7,3.3166666666666664,0.0,-0.06266942706609169,0.05030177682400039,0.011251508343881922,-0.19999999999999996,-0.010611299109936561
1.6,0.8,90,0.3,15,1177,253,0.21495327102803738,295,0.17288135593220338,-0.07711864406779656,0.24999999999999994,-0.035046728971962565,207,0.9539170506912442,46,0.04791666666666667,10,253,673,147,104,34,0.23129251700680273,103,7,3.283333333333333,0.0,-0.06266942706609169,0.051989939374538996,0.011546373230367456,-0.19999999999999996,-0.011018000619880728
1.6,0.8,120,,,1177,282,0.23959218351741715,295,0.20677966101694914,-0.043220338983050804,0.24999999999999994,-0.010407816482582793,217,1.0,65,0.06770833333333333,0,282,807,0,88,0,0.0,86,5,4.133333333333333,-0.004046197761084169,-0.077753720148801,0.044989764615867456,0.006770761417986889,-0.19999999999999996,-0.019458388115799842
1.6,0.8,120,0.2,5,1177,204,0.17332200509770604,295,0.1288135593220339,-0.12118644067796605,0.24999999999999994,-0.0766779949022939,174,0.8018433179723502,30,0.03125,43,204,584,322,67,104,0.32298136645962733,164,11,2.2916666666666665,0.02671991954127728,-0.0414313571333641,0.07362903749948835,0.010635873233863214,-0.18789051317426508,-0.013605103049550071
1.6,0.8,120,0.2,10,1177,199,0.16907391673746813,295,0.1288135593220339,-0.12118644067796605,0.24999999999999994,-0.08092608326253181,171,0.7880184331797235,28,0.029166666666666667,46,199,565,350,63,112,0.32,169,11,2.2,0.036213566684760945,-0.03813271149576647,0.07606840689253946,0.010904147843590393,-0.15691382245763696,-0.011226837552806034
1.6,0.8,120,0.2,15,1177,197,0.16737468139337297,295,0.12542372881355932,-0.12457627118644063,0.24999999999999994,-0.08262531860662697,170,0.783410138248848,27,0.028125,47,197,556,364,60,114,0.3131868131868132,171,11,2.2,0.04201635624266431,-0.03723598200446365,0.07761157754847292,0.010983285411601507,-0.15073821818554456,-0.011420471639735454
1.6,0.8,120,0.25,5,1177,244,0.20730671197960918,295,0.1694915254237288,-0.08050847457627114,0.24999999999999994,-0.04269328802039077,195,0.8986175115207373,49,0.051041666666666666,22,244,652,202,79,58,0.2871287128712871,124,8,3.091666666666667,0.0,-0.06437576709493154,0.05677695993908727,0.013562248734131487,-0.19999999999999996,-0.00789285550652265
1.6,0.8,120,0.25,10,1177,243,0.2064570943075616,295,0.16610169491525423,-0.08389830508474572,0.24999999999999994,-0.04354290569243835,195,0.8986175115207373,48,0.05,22,243,640,220,74,60,0.2727272727272727,125,8,3.0833333333333335,0.0,-0.06314939075715786,0.059143680529041176,0.014610381184034764,-0.19999999999999996,-0.008530250775306707
1.6,0.8,120,0.25,15,1177,240,0.20390824129141885,295,0.15932203389830507,-0.09067796610169487,0.24999999999999994,-0.04609175870858109,194,0.8940092165898618,46,0.04791666666666667,23,240,631,234,72,64,0.27350427350427353,128,8,3.0666666666666664,0.0,-0.06314939075715786,0.06024553408173183,0.014595993985329389,-0.19999999999999996,-0.010759694877015443
1.6,0.8,120,0.3,5,1177,263,0.22344944774851316,295,0.18983050847457628,-0.06016949152542367,0.24999999999999994,-0.02655055225148678,208,0.9585253456221198,55,0.057291666666666664,9,263,710,121,83,30,0.24793388429752067,105,7,3.6166666666666667,0.0,-0.06932314558298536,0.049954333287989705,0.010323505595260025,-0.19999999999999996,-0.012398990606365465
1.6,0.8,120,0.3,10,1177,260,0.22090059473237042,295,0.1864406779661017,-0.06355932203389825,0.24999999999999994,-0.029099405267629525,208,0.9585253456221198,52,0.05416666666666667,9,260,699,136,82,34,0.25,108,7,3.4749999999999996,0.0,-0.06437576709493154,0.05146399578038796,0.009966306977998168,-0.19999999999999996,-0.012107648029136697
1.6,0.8,120,0.3,15,1177,259,0.22005097706032287,295,0.18305084745762712,-0.06694915254237283,0.24999999999999994,-0.029949022939677078,207,0.9539170506912442,52,0.05416666666666667,10,259,691,148,79,36,0.24324324324324326,109,7,3.4166666666666665,0.0,-0.06437576709493154,0.05266243050209285,0.010093190035887553,-0.19999999999999996,-0.012514349539080866
1.6,0.75,60,,,1177,282,0.23959218351741715,295,0.19322033898305085,-0.10089730807577263,0.2941176470588235,-0.05452546354140633,217,1.0,65,0.06770833333333333,0,282,707,0,188,0,0.0,53,4,3.783333333333333,-0.004504472538899074,-0.09073299210887342,0.037184539958676543,-0.009893028842170264,-0.25,-0.042842751479085846
1.6,0.75,60,0.2,5,1177,198,0.16822429906542055,295,0.12203389830508475,-0.17208374875373872,0.2941176470588235,-0.12589334799340293,174,0.8018433179723502,24,0.025,43,198,459,387,133,102,0.26356589147286824,136,10,2.05,0.03911496146371263,-0.040173941825869974,0.07889814406118001,-0.0004374775870734321,-0.11397100388446268,-0.023431548792767206
1.6,0.75,60,0.2,10,1177,193,0.16397621070518267,295,0.12203389830508475,-0.17208374875373872,0.2941176470588235,-0.1301414363536408,171,0.7880184331797235,22,0.022916666666666665,46,193,443,417,124,107,0.2565947242206235,141,10,2.0,0.04803910974026504,-0.03723598200446365,0.08263676936446507,-0.0004493288410825877,-0.10839310399642987,-0.02072848732874825
1.6,0.75,60,0.2,15,1177,192,0.1631265930331351,295,0.12203389830508475,-0.17208374875373872,0.2941176470588235,-0.1309910540256884,170,0.783410138248848,22,0.022916666666666665,47,192,437,434,114,108,0.2488479262672811,142,10,2.0,0.05146909473101635,-0.03813271149576647,0.08379279281039254,-0.00017480671843846544,-0.1060075909289857,-0.020356185190354592
1.6,0.75,60,0.25,5,1177,238,0.20220900594732372,295,0.15254237288135594,-0.14157527417746754,0.2941176470588235,-0.09190864111149977,195,0.8986175115207373,43,0.04479166666666667,22,238,520,255,164,58,0.22745098039215686,96,7,2.9333333333333336,0.0,-0.07250432591352074,0.06387643722575387,0.002557592375367098,-0.15780122392859863,-0.021961117186316007
1.6,0.75,60,0.25,10,1177,236,0.20050977060322855,295,0.15254237288135594,-0.14157527417746754,0.2941176470588235,-0.09360787645559493,195,0.8986175115207373,41,0.042708333333333334,22,236,507,277,157,60,0.21660649819494585,98,7,2.9,0.0,-0.06932314558298536,0.07035212813144454,0.0030113302378504472,-0.1498075967349295,-0.02072174563326174
1.6,0.75,60,0.25,15,1177,234,0.1988105352591334,295,0.14915254237288136,-0.14496510468594212,0.2941176470588235,-0.09530711179969009,194,0.8940092165898618,40,0.041666666666666664,23,234,503,287,153,62,0.21602787456445993,100,7,2.8583333333333334,0.0,-0.0661722620207611,0.07272026237282525,0.0031493880307288348,-0.14715362659207099,-0.021173475584646922
1.6,0.75,60,0.3,5,1177,257,0.2183517417162277,295,0.17288135593220338,-0.1212362911266201,0.2941176470588235,-0.07576590534259578,208,0.9585253456221198,49,0.051041666666666666,9,257,579,165,176,35,0.21212121212121213,78,6,3.283333333333333,0.0,-0.07692401426155071,0.05258915673539144,-0.0029145509858692557,-0.23256181923445995,-0.027457001467707767
1.6,0.75,60,0.3,10,1177,255,0.21665250637213254,295,0.17288135593220338,-0.1212362911266201,0.2941176470588235,-0.07746514068669094,208,0.9585253456221198,47,0.04895833333333333,9,255,566,186,170,37,0.1989247311827957,80,6,3.216666666666667,0.0,-0.07497141200017365,0.05376622393981767,-0.0023836157612267496,-0.21669848904214917,-0.025828227550218557
